id,likes,quotes,replies,retweets,searchQuery,text,timestamp,tanggal,url,user/avatar,user/description,user/joinDate,user_location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified,dataset
1.72664E+18,0,0,0,0,#KIM,"Cerita awal mula Pak Prabowo bertemu seorang profesor dan berhasil membuat mobil Maung yg jadi kebanggaan Indonesia.
#majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",2023-11-20T16:51:00.000Z,11/20/2023,https://twitter.com/gerindrakotasmg/status/1726644325306843411,https://pbs.twimg.com/profile_images/1633532452651290625/53Yns8iN.jpg,"Akun Resmi Twitter DPC GERINDRA KOTA SEMARANG

Prabowo Presiden
Gerindra Menang",2023-01-03T09:34:00.000Z,,17,50,91,716,https://twitter.com//gerindrakotasmg,GERINDRA Kota Semarang,@gerindrakotasmg,FALSE,,,FALSE,prabowogibran
1.72664E+18,0,0,0,0,#KIM,Keseruan Mas Dar di Rakorcab DPC Gerindra Kota Semarang #untukindonesia #indonesiaterusmaju #energibaru #semangatbaru #majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang,2023-11-20T16:36:00.000Z,11/20/2023,https://twitter.com/gerindrakotasmg/status/1726640654829367569,https://pbs.twimg.com/profile_images/1633532452651290625/53Yns8iN.jpg,"Akun Resmi Twitter DPC GERINDRA KOTA SEMARANG

Prabowo Presiden
Gerindra Menang",2023-01-03T09:34:00.000Z,,17,50,91,716,https://twitter.com//gerindrakotasmg,GERINDRA Kota Semarang,@gerindrakotasmg,FALSE,,,FALSE,prabowogibran
1.72673E+18,41,1,14,13,#gibran,"Hallo bro, yuk #SaveIndonesia dg memilih #PrabowoGibran2024 

Memenangkan Rakyat melalui memenangkan #Prabowo #Gibran ???

Hilirisasi wajib lanjut sekalipun asing sangat membencinya dan berusaha menghentikan melalui Proxy War",2023-11-20T22:17:00.000Z,11/20/2023,https://twitter.com/BANGSAygSUJUD/status/1726726515533172743,https://pbs.twimg.com/profile_images/1716436558289473536/hU-INFsf.jpg,#JokowiHebat #PrabowoPresiden2024 #?Khilafah #?PengasongKebencian #PenghebatanPancasila #PapuaHebat #?Papua #KitabNatanegara #UKMHebat #JalinPersatuan,2019-10-29T04:40:00.000Z,,28263,19642,101010,91080,https://twitter.com//BANGSAygSUJUD,B. Prasetya,@BANGSAygSUJUD,FALSE,,,TRUE,prabowogibran
1.72663E+18,0,0,0,0,#KIM,Kado Gibran untuk pak Mahfud di Acara 13 Tahun Mata Najwa #indonesiaterusmaju #energibaru #semangatbaru #majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang,2023-11-20T16:12:00.000Z,11/20/2023,https://twitter.com/gerindrakotasmg/status/1726634749417140572,https://pbs.twimg.com/profile_images/1633532452651290625/53Yns8iN.jpg,"Akun Resmi Twitter DPC GERINDRA KOTA SEMARANG

Prabowo Presiden
Gerindra Menang",2023-01-03T09:34:00.000Z,,17,50,91,716,https://twitter.com//gerindrakotasmg,GERINDRA Kota Semarang,@gerindrakotasmg,FALSE,,,FALSE,prabowogibran
1.72664E+18,0,0,0,0,#KIM,"Prabowo dan Mas Gibran sangat enjoy ketika di bertemu dengan para Capres-Cawapres lain di Acara ""13 Tahun Mata Najwa""
#majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",2023-11-20T16:36:00.000Z,11/20/2023,https://twitter.com/gerindrakotasmg/status/1726640747095724162,https://pbs.twimg.com/profile_images/1633532452651290625/53Yns8iN.jpg,"Akun Resmi Twitter DPC GERINDRA KOTA SEMARANG

Prabowo Presiden
Gerindra Menang",2023-01-03T09:34:00.000Z,,17,50,91,716,https://twitter.com//gerindrakotasmg,GERINDRA Kota Semarang,@gerindrakotasmg,FALSE,,,FALSE,prabowogibran
1.72652E+18,60,5,40,30,#gibran,"Berikut ini elektabilitasnya:

@prabowo - @gibran_tweet  40,3%
@ganjarpranowo - @mohmahfudmd 28,6%
@aniesbaswedan  - @cakimiNOW 20,3%
TT/TJ 10,8%

#Projo #Jokowi #Gibran #Prabowo #PrabowoGibran #LSIDennyJA",2023-11-20T08:26:00.000Z,11/20/2023,https://twitter.com/Projo_Pusat/status/1726517399107817913,https://pbs.twimg.com/profile_images/1671373933290078208/puNqh-Mo.jpg,"ORMAS PRO JOKOWI

*( Account ke II )",2011-05-18T11:50:00.000Z,"Jakarta Capital Region, Indone",849,444,12760,23319,https://twitter.com//Projo_Pusat,DPP Projo,@Projo_Pusat,FALSE,id.m.wikipedia.org/wiki/Proj�,,FALSE,prabowogibran
1.72663E+18,22,6,38,8,#gibran,"Plt. Dirjen Pendidikan, Tinggi, Riset dan Teknologi, Kemendikbud Ristek, Prof. Nizam menegaskan, Gibran sudah memiliki ijazah yang asli dari University of Bradford, Singapura. < #Gibran #Ijazah

kompas.com/edu/read/2023/11/�",2023-11-20T16:07:00.000Z,11/20/2023,https://twitter.com/kompascom/status/1726633439015911914,https://pbs.twimg.com/profile_images/1577144849437888514/d9x3nKN8.jpg,"Jernih Melihat Dunia | Berita Indonesia Terkini, Akurat, dan Terpercaya",2009-03-08T19:32:00.000Z,Jakarta,8569717,29,166,2423284,https://twitter.com//kompascom,Kompas.com,@kompascom,TRUE,kompas.com,,TRUE,prabowogibran
1.72647E+18,125,7,86,27,#gibran,"Gemoy..er,  Siap Menangkan @prabowo @gibran_tweet Satu Putaran.

#Projo #Jokowi #Gibran #Prabowo #PrabowoGibran",2023-11-20T05:20:00.000Z,11/20/2023,https://twitter.com/RcyberProj0/status/1726470490850820174,https://pbs.twimg.com/profile_images/1671525772324921354/8w_EWCRi.jpg,Medsos Projo,2017-06-06T19:35:00.000Z,"Jakarta Capital Region, Indone",1116,1018,19088,13841,https://twitter.com//RcyberProj0,Republik Cyber Projo,@RcyberProj0,FALSE,g.co/kgs/7sLwCL,,FALSE,prabowogibran
1.72675E+18,4,0,1,1,#gibran,"Ingak Ingak tgl 20, logistik saatnya turun 

Oalah sakno 

GaS #PrabowoGibran2024 Menang 1 putaran ??

Militan NKRI yuk tambah GaS, menangkan Indonesia melalui memenangkan #Prabowo #Gibran MERDEKA ?",2023-11-20T23:45:00.000Z,11/20/2023,https://twitter.com/BANGSAygSUJUD/status/1726748649559076872,https://pbs.twimg.com/profile_images/1716436558289473536/hU-INFsf.jpg,#JokowiHebat #PrabowoPresiden2024 #?Khilafah #?PengasongKebencian #PenghebatanPancasila #PapuaHebat #?Papua #KitabNatanegara #UKMHebat #JalinPersatuan,2019-10-29T04:40:00.000Z,,28263,19642,101010,91080,https://twitter.com//BANGSAygSUJUD,B. Prasetya,@BANGSAygSUJUD,FALSE,,,FALSE,prabowogibran
1.72674E+18,0,0,0,0,#gibran,"Gibran beri kado kepada Mahfud MD....
#gibran #mahfud #prabowo #ganjar #promedia #ruangharian",2023-11-20T23:31:00.000Z,11/20/2023,https://twitter.com/ruang_harian/status/1726744990951567692,https://pbs.twimg.com/profile_images/1577242794581626881/rJJH00OD.png,,2022-10-04T10:22:00.000Z,,4,19,2,70,https://twitter.com//ruang_harian,Ruang Harian,@ruang_harian,FALSE,,,FALSE,prabowogibran
