tanggal,text,likes,replies,quotes,retweets,searchQuery,timestamp,user_location,text_lower,stopwords,norm_content,stem_content,filtering
11/21/2023,#Aniesbaswedan mengaku optimis bakal menembus putaran kedua melawan pasangan  #PrabowoGibran dan #GanjarMahfud. Hal itu berlandaskan pada semangat perubahan dalam pembangunan demokrasi di Indonesia. Mungkinkah itu terjadi dengan elektabilitasnya saat ini?. Pemilih yang menentukan,1,0,0,0,#aniesbaswedan,2023-11-21T06:22:00.000Z,"DKI Jakarta, Indonesia",#aniesbaswedan mengaku optimis bakal menembus putaran kedua melawan pasangan  #prabowogibran dan #ganjarmahfud. hal itu berlandaskan pada semangat perubahan dalam pembangunan demokrasi di indonesia. mungkinkah itu terjadi dengan elektabilitasnya saat ini?. pemilih yang menentukan,#aniesbaswedan mengaku optimis menembus putaran melawan pasangan #prabowogibran #ganjarmahfud. berlandaskan semangat perubahan pembangunan demokrasi indonesia. elektabilitasnya ini?. pemilih menentukan,#aniesbaswedan mengaku optimis menembus putaran melawan pasangan #prabowogibran #ganjarmahfud. berlandaskan semangat perubahan pembangunan demokrasi indonesia. elektabilitasnya ini?. pemilih menentukan,aniesbaswedan aku optimis tembus putar lawan pasang prabowogibran ganjarmahfud landas semangat ubah bangun demokrasi indonesia elektabilitasnya ini pilih tentu,aniesbaswedan aku optimis tembus putar lawan pasang prabowogibran ganjarmahfud landas semangat ubah bangun demokrasi indonesia elektabilitasnya ini pilih tentu
11/20/2023,"Willy heran dengan lembaga survei yang dalam usaha praktiknya itu mengayunkan isu.
Selengkapnya di buff.ly/3R6qRv6 
___
#VIVACOID #aniesbaswedan #pemilu2024",97,91,1,38,#aniesbaswedan,2023-11-20T05:04:00.000Z,,"willy heran dengan lembaga survei yang dalam usaha praktiknya itu mengayunkan isu.
selengkapnya di buff.ly/3r6qrv6 
___
#vivacoid #aniesbaswedan #pemilu2024",willy heran lembaga survei usaha praktiknya mengayunkan isu. selengkapnya buff.ly/3r6qrv6 ___ #vivacoid #aniesbaswedan #pemilu2024,willy heran lembaga survei usaha praktiknya mengayunkan isu. selengkapnya buff.ly/3r6qrv6 ___ #vivacoid #aniesbaswedan #pemilu2024,willy heran lembaga survei usaha praktik ayun isu lengkap buff ly 3r6qrv6 vivacoid aniesbaswedan pemilu2024,willy heran lembaga survei usaha praktik ayun isu lengkap buff ly r qrv vivacoid aniesbaswedan pemilu
11/21/2023,"Anies Baswedan Tandatangani Kontrak Bangun Stadion Sepak Bola di Makassar.
#ThePhraseID #Anies #AniesBaswedan #MattoanginInternationalStadium #Makassar 
thephrase.id/anies-baswedan-",1,0,0,0,#aniesbaswedan,2023-11-21T10:30:00.000Z,,"anies baswedan tandatangani kontrak bangun stadion sepak bola di makassar.
#thephraseid #anies #aniesbaswedan #mattoangininternationalstadium #makassar 
thephrase.id/anies-baswedan-",anies baswedan tandatangani kontrak bangun stadion sepak bola makassar. #thephraseid #anies #aniesbaswedan #mattoangininternationalstadium #makassar thephrase.id/anies-baswedan-,anies baswedan tandatangani kontrak bangun stadion sepak bola makassar. #thephraseid #anies #aniesbaswedan #mattoangininternationalstadium #makassar thephrase.id/anies-baswedan-,anies baswedan tandatangani kontrak bangun stadion sepak bola makassar thephraseid anies aniesbaswedan mattoangininternationalstadium makassar thephrase id anies-baswedan-,anies baswedan tandatangani kontrak bangun stadion sepak bola makassar thephraseid anies aniesbaswedan mattoangininternationalstadium makassar thephrase id anies baswedan
11/21/2023,"Ini potret Pak Ganjar bersama Anies, dan Prabowo yang sedang memegang kado dari beliau. Sahabat selamanya untuk membangun Indonesia jadi lebih baik. #GanjarPranowo #AniesBaswedan #PrabowoSubianto #Kebersamaan",0,0,0,0,#aniesbaswedan,2023-11-21T10:40:00.000Z,,"ini potret pak ganjar bersama anies, dan prabowo yang sedang memegang kado dari beliau. sahabat selamanya untuk membangun indonesia jadi lebih baik. #ganjarpranowo #aniesbaswedan #prabowosubianto #kebersamaan","potret ganjar anies, prabowo memegang kado beliau. sahabat membangun indonesia baik. #ganjarpranowo #aniesbaswedan #prabowosubianto #kebersamaan","potret ganjar anies, prabowo memegang kado beliau. sahabat membangun indonesia baik. #ganjarpranowo #aniesbaswedan #prabowosubianto #kebersamaan",potret ganjar anies prabowo pegang kado beliau sahabat bangun indonesia baik ganjarpranowo aniesbaswedan prabowosubianto sama,potret ganjar anies prabowo pegang kado beliau sahabat bangun indonesia baik ganjarpranowo aniesbaswedan prabowosubianto sama
11/21/2023,"Capres kok bego?! 
#Pemilu2024 #AniesBaswedan",0,0,0,0,#aniesbaswedan,2023-11-21T09:25:00.000Z,,"capres kok bego?! 
#pemilu2024 #aniesbaswedan",capres bego?! #pemilu2024 #aniesbaswedan,capres bego?! #pemilu2024 #aniesbaswedan,capres bego pemilu2024 aniesbaswedan,capres bego pemilu aniesbaswedan
11/15/2023,"Anies Imin beri apresiasi usai pidato politik Prabowo Gibran. Begini reaksinya.
Santai saja kata Pak Prabowo Semua bersaudara Salam dua jari

#prabowo #prabowogibran
#aniesbaswedan #cakimin
#muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud",1,0,0,0,#cakimin,2023-11-15T01:16:00.000Z,Jakarta Capital Region,"anies imin beri apresiasi usai pidato politik prabowo gibran. begini reaksinya.
santai saja kata pak prabowo semua bersaudara salam dua jari

#prabowo #prabowogibran
#aniesbaswedan #cakimin
#muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud",anies imin apresiasi pidato politik prabowo gibran. reaksinya. santai prabowo bersaudara salam jari #prabowo #prabowogibran #aniesbaswedan #cakimin #muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud,anies imin apresiasi pidato politik prabowo gibran. reaksinya. santai prabowo bersaudara salam jari #prabowo #prabowogibran #aniesbaswedan #cakimin #muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud,anies imin apresiasi pidato politik prabowo gibran reaksi santai prabowo saudara salam jari prabowo prabowogibran aniesbaswedan cakimin muhaiminiskandarn prabowosubiantoming gibran ganjar ganjarpranowo mahfud,anies imin apresiasi pidato politik prabowo gibran reaksi santai prabowo saudara salam jari prabowo prabowogibran aniesbaswedan cakimin muhaiminiskandarn prabowosubiantoming gibran ganjar ganjarpranowo mahfud
11/15/2023,"Makna Nomor Urut 1 bagi Anies jadi Referensi, bagi Cak Imin Pertanda Kemenangan. - #RiauPos  #AniesBaswedan #cakImin #muhaiminIskandar #pengambilanNomorUrut #pemilu2024 #pilpres2024 #aniesCakImin #pengambilanNomorUrutCapres2024 riaupos.jawapos.com/politik/",0,0,0,0,#cakimin,2023-11-15T00:09:00.000Z,Pekanbaru,"makna nomor urut 1 bagi anies jadi referensi, bagi cak imin pertanda kemenangan. - #riaupos  #aniesbaswedan #cakimin #muhaiminiskandar #pengambilannomorurut #pemilu2024 #pilpres2024 #aniescakimin #pengambilannomorurutcapres2024 riaupos.jawapos.com/politik/","makna nomor urut 1 anies referensi, cak imin pertanda kemenangan. - #riaupos #aniesbaswedan #cakimin #muhaiminiskandar #pengambilannomorurut #pemilu2024 #pilpres2024 #aniescakimin #pengambilannomorurutcapres2024 riaupos.jawapos.com/politik/","makna nomor urut 1 anies referensi, cak imin pertanda kemenangan. - #riaupos #aniesbaswedan #cakimin #muhaiminiskandar #pengambilannomorurut #pemilu2024 #pilpres2024 #aniescakimin #pengambilannomorurutcapres2024 riaupos.jawapos.com/politik/",makna nomor urut 1 anies referensi cak imin tanda menang - riaupos aniesbaswedan cakimin muhaiminiskandar pengambilannomorurut pemilu2024 pilpres2024 aniescakimin pengambilannomorurutcapres2024 riaupos jawapos com politik,makna nomor urut anies referensi cak imin tanda menang riaupos aniesbaswedan cakimin muhaiminiskandar pengambilannomorurut pemilu pilpres aniescakimin pengambilannomorurutcapres riaupos jawapos com politik
11/21/2023,"#AniesPresiden2024
#2024AniesPresiden
#AniesBaswedan
#MendingAnies",0,0,0,0,#aniesbaswedan,2023-11-21T08:43:00.000Z,,"#aniespresiden2024
#2024aniespresiden
#aniesbaswedan
#mendinganies",#aniespresiden2024 #2024aniespresiden #aniesbaswedan #mendinganies,#aniespresiden2024 #2024aniespresiden #aniesbaswedan #mendinganies,aniespresiden2024 2024aniespresiden aniesbaswedan mendinganies,aniespresiden aniespresiden aniesbaswedan mendinganies
11/14/2023,"Berikut nomor urut Capres-Cawapres di Pilpres 2024 
1. Anies-Muhaimin 
2. Prabowo-Ganjar 
3. Ganjar-Mahfud 

#anies #aniesbaswedan #cakimin #muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud #pemilu2024 #pilpres2024 #berita",1,0,0,0,#cakimin,2023-11-14T17:30:00.000Z,Jakarta Capital Region,"berikut nomor urut capres-cawapres di pilpres 2024 
1. anies-muhaimin 
2. prabowo-ganjar 
3. ganjar-mahfud 

#anies #aniesbaswedan #cakimin #muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud #pemilu2024 #pilpres2024 #berita",nomor urut capres-cawapres pilpres 2024 1. anies-muhaimin 2. prabowo-ganjar 3. ganjar-mahfud #anies #aniesbaswedan #cakimin #muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud #pemilu2024 #pilpres2024 #berita,nomor urut capres-cawapres pilpres 2024 1. anies-muhaimin 2. prabowo-ganjar 3. ganjar-mahfud #anies #aniesbaswedan #cakimin #muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud #pemilu2024 #pilpres2024 #berita,nomor urut capres-cawapres pilpres 2024 1 anies-muhaimin 2 prabowo-ganjar 3 ganjar-mahfud anies aniesbaswedan cakimin muhaiminiskandarn prabowosubiantoming gibran ganjar ganjarpranowo mahfud pemilu2024 pilpres2024 berita,nomor urut capres cawapres pilpres anies muhaimin prabowo ganjar ganjar mahfud anies aniesbaswedan cakimin muhaiminiskandarn prabowosubiantoming gibran ganjar ganjarpranowo mahfud pemilu pilpres berita
11/14/2023,"Momen Gibran antar Kaesang sungkem ke Megawati saat acara pengundian nomor urut peserta Pilpres 2024 di gedung KPU RI, Jakarta Selatan (14/11). (Kompas)

#kaesangpangarep #anies #aniesbaswedan #cakimin
#muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud",1,0,0,0,#cakimin,2023-11-14T17:05:00.000Z,Jakarta Capital Region,"momen gibran antar kaesang sungkem ke megawati saat acara pengundian nomor urut peserta pilpres 2024 di gedung kpu ri, jakarta selatan (14/11). (kompas)

#kaesangpangarep #anies #aniesbaswedan #cakimin
#muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud","momen gibran kaesang sungkem megawati acara pengundian nomor urut peserta pilpres 2024 gedung kpu ri, jakarta selatan (14/11). (kompas) #kaesangpangarep #anies #aniesbaswedan #cakimin #muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud","momen gibran kaesang sungkem megawati acara pengundian nomor urut peserta pilpres 2024 gedung kpu ri, jakarta selatan (14/11). (kompas) #kaesangpangarep #anies #aniesbaswedan #cakimin #muhaiminiskandarn #prabowosubiantoming #gibran #ganjar #ganjarpranowo #mahfud",momen gibran kaesang sungkem megawati acara undi nomor urut serta pilpres 2024 gedung kpu ri jakarta selatan 14 11 kompas kaesangpangarep anies aniesbaswedan cakimin muhaiminiskandarn prabowosubiantoming gibran ganjar ganjarpranowo mahfud,momen gibran kaesang sungkem megawati acara undi nomor urut serta pilpres gedung kpu ri jakarta selatan kompas kaesangpangarep anies aniesbaswedan cakimin muhaiminiskandarn prabowosubiantoming gibran ganjar ganjarpranowo mahfud
